x,velocity_cm_s
-3.668091168091171195e+00,7.253382362054352939e+01
-3.664529914529917498e+00,7.269633858865518050e+01
-3.660968660968664246e+00,7.251371307265011978e+01
-3.657407407407410105e+00,7.217536669255144943e+01
-3.653846153846156852e+00,7.163047955030420155e+01
-3.650284900284903600e+00,7.091220687351643903e+01
-3.646723646723649459e+00,7.013414608136987738e+01
-3.643162393162396206e+00,6.938869698850993473e+01
-3.639601139601142510e+00,6.876825940958204342e+01
-3.636039886039888813e+00,6.811086190479596780e+01
-3.632478632478635561e+00,6.797606688107794071e+01
-3.628917378917381864e+00,6.832365324264114292e+01
-3.625356125356128167e+00,6.913459749823505263e+01
-3.621794871794874915e+00,7.081464353981731108e+01
-3.618233618233621218e+00,7.190659193759756818e+01
-3.614672364672367522e+00,7.288195351042816128e+01
-3.611111111111114269e+00,7.334069141372660283e+01
-3.607549857549860572e+00,7.328552328910006963e+01
-3.603988603988606876e+00,7.272731970297745363e+01
-3.600427350427353623e+00,7.170630175114558824e+01
-3.596866096866099927e+00,7.027274580333801168e+01
-3.593304843304846230e+00,6.897452840756989190e+01
-3.589743589743592977e+00,6.760021704679967058e+01
-3.586182336182339281e+00,6.534484627696930659e+01
-3.582621082621085584e+00,6.287423829184728419e+01
-3.579059829059832332e+00,6.014436729739664145e+01
-3.575498575498578191e+00,5.783736133702914373e+01
-3.571937321937324938e+00,5.546078375151685691e+01
-3.568376068376071686e+00,5.257519189297261164e+01
-3.564814814814817545e+00,4.965617304265957443e+01
-3.561253561253564293e+00,4.625803397699398545e+01
-3.557692307692311040e+00,4.273325281243202767e+01
-3.554131054131056899e+00,3.925086685694267885e+01
-3.550569800569803647e+00,3.609052143190865536e+01
-3.547008547008549950e+00,3.499014834514603933e+01
-3.543447293447296254e+00,3.328075177420581099e+01
-3.539886039886043001e+00,3.026607193931870654e+01
-3.536324786324789304e+00,2.580506324107008709e+01
-3.532763532763535608e+00,2.088096841295147499e+01
-3.529202279202282355e+00,1.556743554251853823e+01
-3.525641025641028659e+00,1.030879903255139141e+01
-3.522079772079774962e+00,4.715077312414223343e+00
-3.518518518518521709e+00,-4.468111563359116190e-01
-3.514957264957268013e+00,-5.171974618806160606e+00
-3.511396011396014316e+00,-9.315834541492407084e+00
-3.507834757834761064e+00,-1.251694459063469367e+01
-3.504273504273507367e+00,-1.453968523888715936e+01
-3.500712250712253670e+00,-1.502424073745416422e+01
-3.497150997151000418e+00,-1.389587594213719512e+01
-3.493589743589746721e+00,-1.409915553435710933e+01
-3.490028490028493025e+00,-1.418448948082378536e+01
-3.486467236467239772e+00,-1.401246276708688754e+01
-3.482905982905985631e+00,-1.365074466916614426e+01
-3.479344729344732379e+00,-1.331457240235323525e+01
-3.475783475783479126e+00,-1.283626747948282798e+01
-3.472222222222224985e+00,-1.218702289951841067e+01
