x,velocity_cm_s
-3.867944330353878968e+00,2.778427121009903544e+01
-3.864105562720599352e+00,2.776591252464746162e+01
-3.860266795087319736e+00,2.773207929768234692e+01
-3.856428027454040119e+00,2.757982977633929522e+01
-3.852589259820760503e+00,2.722099420138519577e+01
-3.848750492187480887e+00,2.694428277625569024e+01
-3.844911724554200827e+00,2.668951672839811806e+01
-3.841072956920921211e+00,2.636909942974645560e+01
-3.837234189287641595e+00,2.592279664344154355e+01
-3.833395421654361979e+00,2.542585494530194978e+01
-3.829556654021082363e+00,2.520558769608747696e+01
-3.825717886387802746e+00,2.506428313122714258e+01
-3.821879118754523130e+00,2.520005975353966221e+01
-3.818040351121243514e+00,2.554867140799555614e+01
-3.814201583487963898e+00,2.628161373029352887e+01
-3.810362815854683838e+00,2.737383534199756241e+01
-3.806524048221404222e+00,2.833412585663982952e+01
-3.802685280588124606e+00,2.971515011229041647e+01
-3.798846512954844989e+00,3.151925609792453997e+01
-3.795007745321565373e+00,3.369992774849067985e+01
-3.791168977688285757e+00,3.621406929783815087e+01
-3.787330210055006141e+00,3.902182039769550670e+01
-3.783491442421726525e+00,4.212368022682125002e+01
-3.779652674788446909e+00,4.549849839633661475e+01
-3.775813907155167293e+00,4.912493963634125294e+01
-3.771975139521887677e+00,5.296417893228496609e+01
-3.768136371888608060e+00,5.697739126961762679e+01
-3.764297604255328444e+00,6.112575163378910759e+01
-3.760458836622048828e+00,6.553483121471583672e+01
-3.756620068988768768e+00,6.997184631801653154e+01
-3.752781301355489152e+00,7.441028500518402211e+01
-3.748942533722209536e+00,7.905310966180476839e+01
-3.745103766088929920e+00,8.354936064444767396e+01
-3.741264998455650304e+00,8.786705353636423865e+01
-3.737426230822370687e+00,9.201567273396605628e+01
-3.733587463189091071e+00,9.595315780482377477e+01
-3.729748695555811455e+00,9.960718329326117271e+01
-3.725909927922531395e+00,1.029645671824333277e+02
-3.722071160289251779e+00,1.059506730038931579e+02
-3.718232392655972163e+00,1.085126987378524746e+02
-3.714393625022692547e+00,1.106194919321603294e+02
-3.710554857389412931e+00,1.122265702130035550e+02
-3.706716089756133314e+00,1.135088310268794771e+02
-3.702877322122853698e+00,1.142386673480134220e+02
-3.699038554489574082e+00,1.145566811933833975e+02
-3.695199786856294466e+00,1.146053788544905672e+02
-3.691361019223014850e+00,1.141359659404772202e+02
-3.687522251589735234e+00,1.132385904375083499e+02
-3.683683483956455618e+00,1.120831580044962266e+02
-3.679844716323176002e+00,1.108252829973782383e+02
-3.676005948689896385e+00,1.094790348619032585e+02
-3.672167181056616325e+00,1.077695694712606667e+02
-3.668328413423336709e+00,1.062232061179329605e+02
-3.664489645790057093e+00,1.044549115861958200e+02
-3.660650878156777477e+00,1.026643758675520957e+02
-3.656812110523497861e+00,1.005662351050582686e+02
-3.652973342890218245e+00,9.816610968177303675e+01
-3.649134575256938628e+00,9.609564560822282431e+01
-3.645295807623659012e+00,9.395019379228432399e+01
-3.641457039990378952e+00,9.193096024983810821e+01
-3.637618272357099336e+00,8.980564197715918340e+01
-3.633779504723819720e+00,8.765333107531682799e+01
-3.629940737090540104e+00,8.557765335695557951e+01
-3.626101969457260488e+00,8.347945713015525371e+01
-3.622263201823980872e+00,8.148440602534313371e+01
-3.618424434190701255e+00,7.956620996123812972e+01
-3.614585666557421639e+00,7.764886434983279173e+01
-3.610746898924142023e+00,7.574778826833414769e+01
-3.606908131290862407e+00,7.392328990601012606e+01
-3.603069363657582791e+00,7.199119078907574476e+01
-3.599230596024303175e+00,7.013594671284843685e+01
-3.595391828391023559e+00,6.835670722462859317e+01
-3.591553060757743943e+00,6.633799134904305106e+01
-3.587714293124463882e+00,6.432998008461204620e+01
-3.583875525491184266e+00,6.237105473143370205e+01
-3.580036757857904650e+00,6.044333729471283334e+01
-3.576197990224625034e+00,5.853848964037220526e+01
-3.572359222591345418e+00,5.668259848056905525e+01
-3.568520454958065802e+00,5.483900190870679126e+01
-3.564681687324786186e+00,5.307738158185186705e+01
-3.560842919691506570e+00,5.142234516398812616e+01
-3.557004152058226509e+00,4.992968974745478761e+01
-3.553165384424946893e+00,4.859338821094551975e+01
-3.549326616791667277e+00,4.713552740268995933e+01
-3.545487849158387661e+00,4.572956269721646549e+01
-3.541649081525108045e+00,4.436650887687191869e+01
-3.537810313891828429e+00,4.305034088362222633e+01
-3.533971546258548813e+00,4.182306368559015652e+01
-3.530132778625269196e+00,4.066393363214470469e+01
-3.526294010991989580e+00,3.954388742667968870e+01
-3.522455243358709964e+00,3.847764159851986676e+01
-3.518616475725430348e+00,3.753524756677504115e+01
-3.514777708092150732e+00,3.674926287936071390e+01
-3.510938940458871116e+00,3.582372999679191139e+01
-3.507100172825591500e+00,3.498200368134489224e+01
-3.503261405192311440e+00,3.410544578141578143e+01
-3.499422637559031823e+00,3.334454944864174308e+01
-3.495583869925752207e+00,3.269550613397640859e+01
-3.491745102292472591e+00,3.217199703302320302e+01
-3.487906334659192975e+00,3.177021359673575773e+01
-3.484067567025913359e+00,3.123751590900567976e+01
-3.480228799392633743e+00,3.080363712735679371e+01
